설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
교동면보건지소,인천광역시,강화군,인천광역시 강화군 교동면 교동동로 485-13,인천광역시 강화군 교동면 대룡리 11-44,37.7844605432,126.2832344515,지소내,인천광역시 강화군청,032-930-3547,2024-08-07
삼산면보건지소,인천광역시,강화군,인천광역시 강화군 삼산면 삼산북로 439,인천광역시 강화군 삼산면 석모리 161-6,37.7027328894,126.3236723740,지소내,인천광역시 강화군청,032-932-3020,2024-08-07
주문도보건지소,인천광역시,강화군,인천광역시 강화군 서도면 주문도1길6번길 7-1,인천광역시 강화군 서도면 주문도리 842,37.6507936708,126.2384122871,지소내,인천광역시 강화군청,032-930-3549,2024-08-07
볼음도보건지소,인천광역시,강화군,"인천광역시 강화군 서도면 볼음도길 174, 볼음보건지소",인천광역시 강화군 서도면 볼음도리 287-4,37.6701121786,126.1980840111,지소내,인천광역시 강화군청,032-932-7104,2024-08-07
연리보건진료소,인천광역시,강화군,인천광역시 강화군 선원면 연동로210번길 3,인천광역시 강화군 선원면 연리 782-3,37.7065858008,126.4946484711,진료소내,인천광역시 강화군청,032-932-1412,2024-08-07
오두보건진료소,인천광역시,강화군,인천광역시 강화군 불은면 불은남로 293,인천광역시 강화군 불은면 오두리 312-9,37.6757270621,126.5112701321,진료소내,인천광역시 강화군청,032-937-6813,2024-08-07
흥왕보건진료소,인천광역시,강화군,인천광역시 강화군 화도면 해안남로 1916,인천광역시 강화군 화도면 흥왕리 567-1,37.6085310832,126.4171061892,진료소내,인천광역시 강화군청,032-937-4554,2024-08-07
건평보건진료소,인천광역시,강화군,인천광역시 강화군 양도면 건평로155번길 41,인천광역시 강화군 양도면 건평리 272-1,37.6805795616,126.4061257552,진료소내,인천광역시 강화군청,032-937-1510,2024-08-07
황청보건진료소,인천광역시,강화군,인천광역시 강화군 내가면 황청포구로 355,인천광역시 강화군 내가면 황청리 180,37.7211872793,126.3614743736,진료소내,인천광역시 강화군청,032-932-2819,2024-08-07
신삼보건진료소,인천광역시,강화군,인천광역시 강화군 하점면 고려산로 506-2,인천광역시 강화군 하점면 신삼리 787-3,37.7522300266,126.3942184816,진료소내,인천광역시 강화군청,032-933-1193,2024-08-07
인화보건진료소,인천광역시,강화군,인천광역시 강화군 양사면 서사길105번길 47,인천광역시 강화군 양사면 인화리 360-6,37.7961800874,126.3808447941,진료소내,인천광역시 강화군청,032-934-5583,2024-08-07
난정보건진료소,인천광역시,강화군,인천광역시 강화군 교동면 교동서로378번길 56-28,인천광역시 강화군 교동면 난정리 1272-7,37.7710915971,126.2380761271,진료소내,인천광역시 강화군청,032-934-7807,2024-08-07
삼선보건진료소,인천광역시,강화군,인천광역시 강화군 교동면 교동북로 222-1,인천광역시 강화군 교동면 삼선리 450-7,37.7961079082,126.2615798357,진료소내,인천광역시 강화군청,032-932-4808,2024-08-07
상용보건진료소,인천광역시,강화군,인천광역시 강화군 교동면 교동동로 208-3,인천광역시 강화군 교동면 상용리 12,37.7958516989,126.3078508187,진료소내,인천광역시 강화군청,032-932-4381,2024-08-07
매음보건진료소,인천광역시,강화군,인천광역시 강화군 삼산면 어류정길 36,인천광역시 강화군 삼산면 매음리 361-1,37.6641598767,126.3488346651,진료소내,인천광역시 강화군청,032-932-3564,2024-08-07
하리보건진료소,인천광역시,강화군,인천광역시 강화군 삼산면 삼산북로 790,인천광역시 강화군 삼산면 하리 269-11,37.7246308672,126.2962787700,진료소내,인천광역시 강화군청,032-932-3653,2024-08-07
서검보건진료소,인천광역시,강화군,인천광역시 강화군 삼산면 서검길 166-3,인천광역시 강화군 삼산면 서검리 73-1,37.7193765850,126.2333600153,진료소내,인천광역시 강화군청,032-932-3928,2024-08-07
강화건강약국,인천광역시,강화군,인천광역시 강화군 강화읍 강화대로312번길 12,인천광역시 강화군 강화읍 갑곳리 341-4,37.7420282827,126.4961738813,약국내,인천광역시 강화군청,032-932-0249,2024-08-07
서울약국,인천광역시,강화군,"인천광역시 강화군 강화읍 강화대로404번길 4, 서울약국",인천광역시 강화군 강화읍 관청리 175-6,37.7462670915,126.4868118616,약국내,인천광역시 강화군청,032-933-2280,2024-08-07
강화종로약국,인천광역시,강화군,"인천광역시 강화군 강화읍 강화대로 387, 이레빌딩",인천광역시 강화군 강화읍 신문리 5-6,37.7449666860,126.4874420354,약국내,인천광역시 강화군청,032-932-0497,2024-08-07
메디팜조은약국,인천광역시,강화군,"인천광역시 강화군 강화읍 중앙로 45, 정우빌딩",인천광역시 강화군 강화읍 남산리 242-4,37.7393643727,126.4896304610,약국내,인천광역시 강화군청,032-933-9422,2024-08-07
은화약국,인천광역시,강화군,인천광역시 강화군 강화읍 강화대로 404,인천광역시 강화군 강화읍 관청리 175-4,37.7463879425,126.4863435623,약국내,인천광역시 강화군청,032-933-7570,2024-08-07
큰샘온누리약국,인천광역시,강화군,인천광역시 강화군 강화읍 중앙로 9,인천광역시 강화군 강화읍 갑곳리 203-19,37.7421296822,126.4920063003,약국내,인천광역시 강화군청,032-934-0700,2024-08-07
남산약국,인천광역시,강화군,"인천광역시 강화군 강화읍 충렬사로 24, 1층",인천광역시 강화군 강화읍 남산리 325-4,37.7372046450,126.4858078986,약국내,인천광역시 강화군청,032-34-5670,2024-08-07
감초약국,인천광역시,강화군,인천광역시 강화군 강화읍 강화대로 431,인천광역시 강화군 강화읍 신문리 240-3,37.7471253863,126.4836238521,약국내,인천광역시 강화군청,032-934-3806,2024-08-07
강화약국,인천광역시,강화군,인천광역시 강화군 강화읍 중앙로 43,인천광역시 강화군 강화읍 남산리 222,37.7397766771,126.4904067069,약국내,인천광역시 강화군청,032-934-5550,2024-08-07
진약국,인천광역시,강화군,인천광역시 강화군 강화읍 동문안길 6,인천광역시 강화군 강화읍 관청리 490-4,37.7470114931,126.4855165302,약국내,인천광역시 강화군청,032-933-2012,2024-08-07
신세계약국,인천광역시,강화군,인천광역시 강화군 강화읍 중앙로 23,인천광역시 강화군 강화읍 남산리 37-3,37.7410106404,126.4910550335,약국내,인천광역시 강화군청,032-934-5424,2024-08-07
전등약국,인천광역시,강화군,인천광역시 강화군 길상면 온수길 23,인천광역시 강화군 길상면 온수리 544-5,37.6390480885,126.4918479254,약국내,인천광역시 강화군청,032-937-8219,2024-08-07
이화약국,인천광역시,강화군,인천광역시 강화군 강화읍 중앙로 27,인천광역시 강화군 강화읍 남산리 39-1,37.7406404741,126.4907301410,약국내,인천광역시 강화군청,032-934-5534,2024-08-07
재경약국,인천광역시,강화군,인천광역시 강화군 강화읍 강화대로 412,인천광역시 강화군 강화읍 관청리 491-1,37.7466897055,126.4859375491,약국내,인천광역시 강화군청,032-934-4741,2024-08-07
화도약국,인천광역시,강화군,인천광역시 강화군 화도면 마니산로 728,인천광역시 강화군 화도면 상방리 805-9,37.6331557605,126.4173660331,약국내,인천광역시 강화군청,032-937-0777,2024-08-07
부흥생명약국,인천광역시,강화군,인천광역시 강화군 내가면 강화서로 223,인천광역시 강화군 내가면 고천리 914-5,37.7166712013,126.3908232343,약국내,인천광역시 강화군청,032-932-5918,2024-08-07
