설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
장위1동주민센터,서울특별시,성북구,서울특별시 성북구 장위로 61,서울특별시 성북구 장위동 225-100,37.61406942,127.0436684,,서울특별시 성북구청,02-2241-4409,2024-09-02
장위2동주민센터,서울특별시,성북구,서울특별시 성북구 돌곶이로27길 12,서울특별시 성북구 장위동 69-54,37.61239016,127.0544978,,서울특별시 성북구청,02-2241-4409,2024-09-02
장위3동주민센터,서울특별시,성북구,서울특별시 성북구 한천로 657,서울특별시 성북구 장위동 117-5,37.61655912,127.0566145,,서울특별시 성북구청,02-2241-4409,2024-09-02
석관동주민센터,서울특별시,성북구,서울특별시 성북구 화랑로 296,서울특별시 성북구 석관동 384-3,37.61297096,127.0614241,,서울특별시 성북구청,02-2241-4409,2024-09-02
성북구 보건소,서울특별시,성북구,서울특별시 성북구 화랑로 63 (하월곡동),서울특별시 성북구 하월곡동 46-1,37.60276167,127.039514,,서울특별시 성북구청,02-2241-4409,2024-09-02
성북구 동선보건지소,서울특별시,성북구,서울특별시 성북구 아리랑로3길 8,서울특별시 성북구 동소문동6가 146,37.59360802,127.015754,,서울특별시 성북구청,02-2241-4409,2024-09-02
성북장애인복지관,서울특별시,성북구,서울특별시 성북구 화랑로 130,서울특별시 성북구 하월곡동 11-11,37.60459871,127.0457199,,서울특별시 성북구청,02-2241-4409,2024-09-02
성북노인종합복지관,서울특별시,성북구,서울특별시 성북구 종암로15길 10,서울특별시 성북구 종암동 66-14,37.59779025,127.0344101,,서울특별시 성북구청,02-2241-4409,2024-09-02
성북성심신경과의원(추가),서울특별시,성북구,서울특별시 성북구 동소문로 181,서울특별시 성북구 돈암동 48-4,37.5983886,127.0214439,,서울특별시 성북구청,02-2241-4409,2024-09-02
에스메디센터내과외과의원(추가),서울특별시,성북구,서울특별시 성북구 오패산로 99,서울특별시 성북구 하월곡동 79-19,37.6107514,127.0351644,,서울특별시 성북구청,02-2241-4409,2024-09-02
e-편한세상보문아파트,서울특별시,성북구,서울특별시 성북구 낙산길 255,서울특별시 성북구 보문동3가 230,37.58277838,127.0156254,,서울특별시 성북구청,02-2241-4409,2024-09-02
삼선푸르지오아파트,서울특별시,성북구,서울특별시 성북구 보문로29다길 31,서울특별시 성북구 삼선동2가 425,37.58417735,127.0126186,,서울특별시 성북구청,02-2241-4409,2024-09-02
돈암현대아파트,서울특별시,성북구,서울특별시 성북구 정릉로 404,서울특별시 성북구 돈암동 1,37.60429852,127.0287962,,서울특별시 성북구청,02-2241-4409,2024-09-02
길음동부센트레빌아파트,서울특별시,성북구,서울특별시 성북구 숭인로2길 61,서울특별시 성북구 길음동 1278,37.60935341,127.0249739,,서울특별시 성북구청,02-2241-4409,2024-09-02
종암2차아이파크아파트,서울특별시,성북구,서울특별시 성북구 종암로9길 71,서울특별시 성북구 종암동 131,37.59630307,127.032513,,서울특별시 성북구청,02-2241-4409,2024-09-02
종암래미안아파트,서울특별시,성북구,서울특별시 성북구 종암로25길 30,서울특별시 성북구 종암동 80,37.60149253,127.0310807,,서울특별시 성북구청,02-2241-4409,2024-09-02
월곡꿈의숲푸르지오아파트,서울특별시,성북구,서울특별시 성북구 오패산로16가길 40,서울특별시 성북구 하월곡동 228,37.60987826,127.0388603,,서울특별시 성북구청,02-2241-4409,2024-09-02
월곡두산위브아파트,서울특별시,성북구,서울특별시 성북구 오패산로 46,서울특별시 성북구 하월곡동 222,37.60747384,127.0387095,,서울특별시 성북구청,02-2241-4409,2024-09-02
길음뉴타운데시앙아파트,서울특별시,성북구,서울특별시 성북구 서경로 28,서울특별시 성북구 정릉동 1018,37.60614991,127.0157105,,서울특별시 성북구청,02-2241-4409,2024-09-02
장위꿈의숲대명루첸아파트,서울특별시,성북구,서울특별시 성북구 월계로36길 27,서울특별시 성북구 장위동 317,37.62144228,127.0463268,,서울특별시 성북구청,02-2241-4409,2024-09-02
