설치장소명,위도,경도,약국전화번호,약국소재지(도로명)
대문약국,37.40319387,126.9558726,031-386-0324,"경기도 안양시 동안구 관악대로 297, 1층 (관양동)"
밝은약국,37.36407028,126.9600418,031-383-6888,"경기도 안양시 동안구 관평로170번길 43, 218-B호 (관양동, 훼미리타운)"
현대약국,37.36407028,126.9600418,031-454-5812,"경기도 안양시 동안구 경수대로 458, 140호 (호계동, 현대홈타운상가)"
우리약국,37.38005605,126.9563458,031-381-0828,"경기도 안양시 동안구 동안로 11, 1층 (호계동, 무궁화코오롱상가)"
정수약국,37.36221525,126.9648588,031-453-8253,경기도 안양시 동안구 포도원로 27 (호계동)
해오름약국,37.39178353,126.9517671,031-440-9969,"경기도 안양시 동안구 시민대로 187, 201호 (비산동, 안양건설타워)"
중앙약국,37.39411257,126.9772234,031-425-5932,경기도 안양시 동안구 흥안대로456번길 30 (평촌동)
이화약국,37.5048752,126.9506962,031-444-3485,"경기도 안양시 동안구 관악대로 129, 202호 (비산동)"
원광한약국,37.39035953,126.9530645,031-383-3180,"경기도 안양시 동안구 평촌대로223번길 49, 아트타워빌딩 5층 501호 (호계동)"
럭키약국,35.2188834,129.0822787,031-386-5652,"경기도 안양시 동안구 관평로 260, 공작럭키아파트 상가 201호 (관양동)"
관양그랜드약국,37.404582,126.9571706,031-476-2361,경기도 안양시 동안구 관평로 315-1 (관양동)
우리온누리약국,37.39034766,126.9517815,031-386-0491,"경기도 안양시 동안구 동안로 128, 1층 (호계동)"
평촌태평양약국,37.3910002,126.9526158,031-384-2890,"경기도 안양시 동안구 평촌대로227번길 50, 3호 (호계동)"
평촌종로약국,37.3845567,126.9587265,031-385-9600,"경기도 안양시 동안구 평촌대로 141 (호계동, 트윈프라자 1층)"
메디칼온누리약국,37.40211,126.9502269,031-476-3838,"경기도 안양시 동안구 평촌대로 352, 1층 (비산동, 성준빌딩)"
행복한약국,36.8907929,126.6393643,031-425-6520,"경기도 안양시 동안구 흥안대로 458, 102호 (평촌동, 평촌메가타운)"
은혜약국,33.8469271,-118.0477782,031-421-1128,"경기도 안양시 동안구 관악대로 480, 107호 (관양동)"
신덕천약국,37.3976384,126.9323308,031-446-4278,경기도 안양시 동안구 관악대로 72 (비산동)
베데스다약국,37.3912506,126.9729472,031-478-2799,"경기도 안양시 동안구 흥안대로 415, 139호 (평촌동, 두산벤처다임)"
샘깊은약국,37.4009717,126.977252,031-422-0852,"경기도 안양시 동안구 흥안대로 528, 103호 (관양동, 타워빌딩)"
옵티마나라약국,37.3895004,126.9521993,031-381-2631,"경기도 안양시 동안구 동안로 120, 510호 (호계동, 올림픽스포츠센터)"
대학당약국,37.37226976,126.9580981,031-453-5454,"경기도 안양시 동안구 경수대로 556, 1층 (호계동)"
수촌늘푸른약국,37.4041098,126.9543931,031-386-4310,"경기도 안양시 동안구 관악대로287번길 27, 104호 (관양동, 태광빌딩)"
인덕그린프라자약국,37.401972,126.9759431,031-425-9293,"경기도 안양시 동안구 관악대로 488, 114호 (관양동, 창덕에버빌)"
참좋은 약국,37.39135166,126.950431,031-388-7114,"경기도 안양시 동안구 시민대로 175 (비산동, 동안프라자 304호)"
예인약국,37.404277,126.9659922,031-425-5617,경기도 안양시 동안구 관악대로 388 (관양동)
